ID,Wind speed in km/h,Water temperature in degrees Celsius,Waterfowl population,Wave Action,Turbidity of water (NTUs)
829,NA,13.5,NA,Low,NA
830,NA,12.8,20,Low,NA
831,NA,13.5,NA,Low,NA
832,5,15.6,NA,Low,NA
833,NA,16.2,NA,Low,NA
834,NA,16.1,25,High,NA
835,NA,NA,NA,None,NA
836,NA,NA,NA,None,NA
837,NA,NA,NA,None,NA
838,NA,14.9,NA,Moderate,NA
839,NA,NA,NA,None,NA
840,NA,NA,NA,None,NA
841,NA,NA,NA,None,NA
842,NA,NA,NA,None,NA
843,NA,NA,NA,None,NA
844,NA,NA,NA,None,NA
845,NA,NA,NA,None,NA
846,NA,NA,NA,None,NA
847,NA,NA,NA,None,NA
848,NA,15,35,Low,1
849,NA,16,35,Low,6.4
850,15,13,15,Low,4.5
851,NA,16,58,Low,3.8
852,NA,17,32,Low,NA
853,NA,17,45,Low,NA
854,11,17.5,70,Moderate,40
855,NA,18,NA,Low,7.2
856,15,17.5,80,Low,4.2
857,10,NA,200,Moderate,NA
858,8,18,15,Low,9.2
859,NA,19,15,Low,4.2
860,20,17,55,High,117
861,5,16.8,31,Low,176
862,15,16,45,Low,2.7
863,13,14.2,45,Moderate,11.2
864,13,14.8,72,Moderate,32
865,5,16.4,104,Low,6.3
866,27,15.13,92,High,42.8
867,5,15.6,12,Low,10.8
868,10,16.4,65,Low,2.5
869,15,16.8,50,Low,2.8
870,20,17.3,200,High,214.6
871,NA,19,34,Low,28.8
872,11,16.5,50,Low,2.1
873,15,17.7,55,Low,4.2
874,25,16.6,NA,Low,2.6
875,11,15,51,Low,1.4
876,18,17,200,Moderate,9.8
877,18,17.9,2,Low,1.4
878,17,13.2,9,Moderate,1.2
879,11,15,21,Low,2.4
880,18,13,50,Low,2.6
881,NA,13.8,40,Low,3.9
882,11,17.6,25,Low,24.8
883,15,16,40,Low,2
884,24,13,30,Low,2.3
885,22,8.6,80,Low,1.7
886,5,9.1,60,Low,2.4
887,15,8.5,17,Low,2.4
888,9,10.2,30,Low,2.1
889,15,9.8,50,Low,1.1
890,5,11.1,55,Low,2
891,5,12,45,Low,1.1
892,4,19,25,Low,1.3
893,4,18,180,Low,4.7
894,NA,18.9,45,Low,1.6
895,5,20.4,10,Low,3
896,18,19.2,50,Low,1.4
897,12,24,45,Low,25.1
898,14,23,25,Low,12
899,4,21,32,Low,4.8
900,9,23,41,Low,2.1
901,26,18,24,Low,1.9
902,18,16.5,12,Low,1.5
903,15,21,24,Low,8.9
904,10,18.4,7,Low,1.2
905,NA,18,21,Low,1.1
906,17,16.9,80,Low,0.9
907,10,19.2,110,High,16.1
908,5,17.9,50,Low,2.4
909,20,17.2,70,Low,7.5
910,17,17.9,17,Low,1.5
911,4,18.8,60,Low,1.6
912,17,18.9,90,High,5.3
913,18,14,90,Low,39.4
914,13,14.4,40,Low,1.4
915,8,16,30,Low,1.9
916,8,20,22,High,5.2
917,10,20.5,15,Low,2.2
918,NA,NA,NA,None,NA
919,NA,15,15,Low,8
920,NA,16,12,Low,5.2
921,15,14,5,Low,1.6
922,NA,17,30,Low,3.8
923,NA,16.9,60,Low,5.4
924,NA,17,20,Low,NA
925,11,18,20,Moderate,17.4
926,NA,18,30,Low,3.6
927,15,17.8,15,Low,3
928,10,NA,40,Low,NA
929,8,20,19,Low,1.4
930,NA,18,28,Low,10
931,20,18.5,20,High,110
932,5,16.2,26,Low,9.7
933,15,16,17,Low,7.1
934,13,15,20,Moderate,8.4
935,13,15.62,81,Low,8.4
936,5,16.3,200,Low,3.3
937,27,15.4,68,Moderate,11.6
938,5,15.3,31,Low,5.5
939,10,16.9,50,Low,3.2
940,15,15.9,110,Low,2.5
941,20,17.6,60,Moderate,24.7
942,NA,12.8,31,Low,1.8
943,11,17,15,Low,1.3
944,15,20.1,40,Low,5.1
945,25,16.5,120,Low,1.7
946,11,15,44,Low,0.9
947,18,17.5,50,Low,2.3
948,18,17.7,30,Low,1.8
949,17,15.7,24,Moderate,8.3
950,11,15,84,Low,1.4
951,18,15.9,140,Low,1.9
952,NA,16.4,80,Low,1.1
953,11,18.7,70,Low,4.2
954,15,14,20,Low,2.7
955,24,9.2,50,Low,3
956,22,9.2,30,Low,1.9
957,5,10.1,90,Low,2.1
958,15,9.1,21,Low,2.9
959,9,8.2,20,Low,2.2
960,15,12.4,90,Low,1.2
961,5,13.7,100,Low,1.4
962,5,15.1,70,Low,1
963,4,17,15,Low,1.2
964,4,16,9,Low,1.7
965,NA,18,75,Low,1.5
966,5,18.8,95,Low,2.1
967,18,20.4,60,Low,2.4
968,12,24.2,55,Low,1.4
969,14,21,36,Low,1.6
970,4,23,45,Low,1
971,9,23,32,Low,5.6
972,26,18,38,Low,40.2
973,18,15.9,70,Low,65.4
974,15,16,34,Low,1.5
975,10,16.1,24,Low,1.6
976,NA,18,7,Low,1.3
977,17,15.6,25,Low,0.6
978,10,19,110,Low,61
979,5,17.9,70,Low,6.1
980,20,17.4,40,Low,2.2
981,17,18,24,Low,1.8
982,4,18.4,45,Low,2
983,17,18,10,Low,4.1
984,18,11.6,50,Low,1.2
985,13,14,15,Low,1.8
986,8,17,40,Low,1.3
987,8,19,30,High,5.6
988,10,20,25,Low,2.8
989,NA,NA,NA,None,NA
990,NA,15,70,Low,1
991,NA,15,30,Low,4.6
992,15,14,27,Low,4.1
993,NA,17,16,Low,4.5
994,NA,17.3,36,Low,5.6
995,NA,17,NA,Low,NA
996,11,18,20,Moderate,7
997,NA,18,15,Low,1.2
998,15,18.2,10,Low,0.9
999,10,NA,5,Low,NA
1000,8,17.3,5,NA,1.7
1001,NA,20,16,Low,3.8
1002,20,18,35,High,100
1003,5,18.5,20,Low,8.5
1004,15,15,20,Low,2
1005,13,15.2,17,Moderate,5.6
1006,13,15.56,59,Low,8.4
1007,5,15.9,30,Low,2.8
1008,27,15.75,36,High,11.7
1009,5,15.7,24,Low,7.4
1010,10,16.4,40,Low,4.2
1011,15,16.2,15,Low,2.5
1012,20,15.8,NA,Moderate,23.8
1013,NA,12,22,Low,22
1014,11,16,12,Low,0.9
1015,15,19,15,Low,3.6
1016,25,15.7,15,Low,2.8
1017,11,15,20,Low,1
1018,18,17,60,Low,6.9
1019,18,17.5,10,Low,1.9
1020,17,16.6,40,Moderate,1.5
1021,11,13,17,Low,1.2
1022,18,15.4,30,Low,2.8
1023,NA,16.4,50,Low,1.8
1024,11,18.7,5,Low,2
1025,15,12,25,Low,1
1026,24,11,35,Low,2
1027,22,9,40,Low,1.2
1028,5,12,30,Low,2
1029,15,8.2,25,Low,1.2
1030,9,9,50,Low,1.1
1031,15,9.8,20,Low,1.7
1032,5,13.8,25,Low,1.4
1033,5,13.5,50,Low,0.9
1034,4,18,50,Low,1.1
1035,4,22,315,Low,1.3
1036,NA,17.7,25,Low,1.3
1037,5,19.6,40,Low,1.8
1038,18,21.2,45,Low,2
1039,12,24,23,Low,1.9
1040,14,22,68,Low,2.3
1041,4,23,40,Low,2.7
1042,9,22,21,Low,1.9
1043,26,18,28,Low,9.8
1044,18,16,24,Low,4.9
1045,15,22,29,Low,3.8
1046,10,16.7,21,Low,1.4
1047,NA,18,19,Low,0.7
1048,17,16.3,36,Low,1.5
1049,10,18,35,Moderate,27
1050,5,17.7,60,Low,2.3
1051,20,17.2,120,Low,3.3
1052,17,18.5,29,Low,2.1
1053,4,18.5,120,Low,1.6
1054,17,18,35,Low,4.6
1055,18,12,40,Low,1.9
1056,13,14.2,90,Low,1.5
1057,8,17,90,Low,1.9
1058,8,19,50,High,3.3
1059,10,20.5,65,Low,2.8
1060,NA,NA,NA,None,NA
1061,NA,15,2,Low,0.4
1062,NA,17,5,Low,4
1063,15,15,4,Low,4.1
1064,NA,18,7,Low,1.5
1065,NA,16.6,30,Low,5.1
1066,NA,17,2,NA,NA
1067,11,18,30,Low,5
1068,NA,18,26,Low,0.7
1069,15,17.5,25,Low,1.2
1070,10,20,4,Low,3
1071,8,19.1,10,Low,29
1072,NA,19.2,12,Low,1.4
1073,20,18.5,20,Low,4.2
1074,5,15.6,15,Low,2.4
1075,15,16,75,Low,NA
1076,13,15.6,NA,Low,0.5
1077,13,11.2,45,Low,2.5
1078,5,17.1,35,Low,2.3
1079,27,17.56,7,Moderate,4.5
1080,5,15.3,12,Low,NA
1081,10,16.4,30,Low,2.3
1082,15,16.9,40,Low,2.1
1083,20,17.5,12,Low,1
1084,NA,16.5,10,Low,4.6
1085,11,18.2,12,Low,3.5
1086,15,18.8,36,Low,1.1
1087,25,18.8,20,Low,1.6
1088,11,17,10,Low,1.3
1089,18,19.3,32,Low,1.7
1090,18,18.1,25,Low,0.9
1091,17,20.1,23,Low,1.4
1092,11,19,65,Low,1.2
1093,18,16.2,3,Low,1.1
1094,NA,19.53,25,Low,1.8
1095,11,18.7,20,Low,3.2
1096,15,18,5,Low,3.3
1097,24,18,20,Low,17.3
1098,22,17.3,45,Low,3
1099,5,14.1,45,Low,2.7
1100,15,14.4,15,Low,2.4
1101,9,17.1,40,Low,1.3
1102,15,18.5,30,Low,1.7
1103,5,19.4,68,Low,1.7
1104,5,20.3,65,Low,1.5
1105,4,22,30,Low,1.8
1106,4,19.5,60,Low,0.4
1107,NA,19.5,30,Low,1.1
1108,5,20.1,50,Low,1.6
1109,18,21.6,50,Low,1.9
1110,12,24.1,48,Low,4.1
1111,14,22,25,Low,1
1112,4,24.7,42,NA,0.6
1113,9,24.1,42,Low,1.4
1114,26,25,16,Low,42
1115,18,23.4,8,Low,28.8
1116,NA,NA,NA,None,NA
1117,NA,15.3,65,Low,NA
1118,NA,NA,NA,None,NA
1119,NA,NA,NA,None,NA
1120,NA,NA,NA,None,NA
1121,NA,NA,NA,None,NA
1122,NA,NA,NA,None,NA
1123,NA,NA,NA,None,NA
1124,NA,NA,NA,None,NA
1125,NA,NA,NA,None,NA
1126,NA,NA,NA,None,NA
1127,NA,NA,NA,None,NA
1128,NA,NA,NA,None,NA
1129,NA,NA,NA,None,NA
1130,NA,NA,NA,None,NA
1131,NA,NA,NA,None,NA
1132,NA,NA,NA,None,NA
1133,NA,NA,NA,None,NA
1134,NA,NA,NA,None,NA
1135,NA,NA,NA,None,NA
1136,NA,NA,NA,None,NA
1137,NA,NA,NA,None,NA
1138,NA,NA,NA,None,NA
1139,NA,NA,NA,None,NA
1140,NA,NA,NA,None,NA
1141,NA,NA,NA,None,NA
1142,NA,NA,NA,None,NA
1143,NA,NA,NA,None,NA
1144,NA,NA,NA,None,NA
1145,NA,NA,NA,None,NA
1146,NA,NA,NA,None,NA
1147,NA,NA,NA,None,NA
1148,NA,NA,NA,None,NA
1149,NA,NA,NA,None,NA
1150,NA,NA,NA,None,NA
1151,NA,NA,NA,None,NA
1152,NA,NA,NA,None,NA
1153,NA,NA,NA,None,NA
1154,NA,NA,NA,None,NA
1155,NA,NA,NA,None,NA
1156,NA,NA,NA,None,NA
1157,NA,NA,8,Low,NA
1158,NA,NA,NA,None,NA
1159,NA,NA,NA,None,NA
1160,NA,NA,NA,None,NA
1161,NA,19,60,Moderate,NA
1162,NA,18,10,Moderate,NA
1163,NA,19,5,Low,NA
1164,NA,NA,NA,None,NA
1165,NA,63.4,20,NA,NA
1166,NA,17.9,6,NA,NA
1167,NA,16.8,40,Moderate,NA
1168,NA,19.4,NA,Low,NA
1169,NA,NA,NA,None,NA
1170,NA,19.7,NA,Low,NA
1171,NA,22.7,2,Low,NA
1172,NA,NA,NA,None,NA
1173,NA,NA,NA,None,NA
1174,NA,23.8,NA,Moderate,NA
1175,NA,25,NA,High,NA
1176,NA,22.5,NA,Moderate,NA
1177,NA,23.7,NA,Low,NA
1178,NA,NA,NA,None,NA
1179,NA,19.8,3,Low,NA
1180,NA,18.7,75,Moderate,NA
1181,NA,20.5,16,NA,NA
1182,NA,18.2,NA,High,NA
1183,NA,20.8,25,Low,NA
1184,NA,NA,NA,None,NA
1185,NA,NA,NA,None,NA
1186,NA,19.1,8,Moderate,NA
1187,NA,19.2,6,Moderate,NA
1188,NA,18.8,11,Low,NA
1189,NA,19,30,Low,NA
1190,NA,19.7,45,Low,NA
1191,NA,NA,NA,None,NA
1192,NA,NA,NA,None,NA
1193,NA,NA,NA,None,NA
1194,NA,NA,NA,None,NA
1195,NA,NA,NA,None,NA
1196,NA,NA,NA,None,NA
1197,NA,NA,NA,None,NA
1198,NA,NA,NA,None,NA
1199,NA,NA,NA,None,NA
1200,NA,NA,NA,None,NA
1201,NA,NA,NA,None,NA
1202,NA,NA,NA,None,NA
1203,NA,NA,NA,None,NA
1204,NA,NA,NA,None,NA
1205,NA,NA,NA,None,NA
1206,NA,NA,NA,None,NA
1207,NA,NA,NA,None,NA
1208,NA,NA,NA,None,NA
1209,NA,NA,NA,None,NA
1210,NA,NA,NA,None,NA
1211,NA,NA,NA,None,NA
1212,NA,NA,NA,None,NA
1213,NA,NA,NA,None,NA
1214,NA,NA,NA,None,NA
1215,NA,NA,NA,None,NA
1216,NA,NA,NA,None,NA
1217,NA,NA,NA,None,NA
1218,NA,NA,NA,None,NA
1219,NA,NA,NA,None,NA
1220,NA,NA,NA,None,NA
1221,NA,NA,NA,None,NA
1222,NA,NA,NA,None,NA
1223,NA,20,175,Low,NA
1224,NA,19,90,Low,NA
1225,NA,18,50,Low,NA
1226,NA,21,50,Low,0.2
1227,NA,19.4,105,Low,1.4
1228,NA,19,150,Moderate,0.3
1229,NA,18,37,Low,5.3
1230,NA,18,150,Low,1.09
1231,NA,15.7,29,Low,NA
1232,NA,15.1,10,Low,0.9
1233,NA,NA,NA,None,NA
1234,9,17.9,50,Low,8.4
1235,NA,17.5,50,Low,3.7
1236,NA,19,45,Low,9.6
1237,10,21,50,Low,3.2
1238,10,20,NA,Low,0.8
1239,9,21.1,90,Low,2.4
1240,NA,22.9,33,Low,0.1
1241,NA,24.3,45,Low,0.3
1242,20,21.9,100,Low,0.2
1243,25,22.1,24,Low,NA
1244,NA,20,5,Low,1.31
1245,15,22,49,Moderate,NA
1246,NA,19,19,Low,2.1
1247,5,19.9,25,Low,0.1
1248,NA,19.6,20,Low,1.8
1249,NA,20.7,15,Low,0.9
1250,10,19.7,40,Low,0.9
1251,NA,19,40,Low,2.2
1252,9,19.4,15,High,3.3
1253,25,17.2,30,High,8.9
1254,NA,19,60,Moderate,NA
1255,NA,19,50,Low,1.7
1256,NA,19.1,60,Low,3.5
1257,NA,19,15,Low,2.2
1258,NA,19.5,60,Low,0.9
1259,10,19.4,45,Low,0.1
1260,10,20,100,Low,0.2
1261,NA,19.5,35,Low,1.1
1262,NA,19.4,30,Moderate,2
1263,NA,19,35,Moderate,2.2
1264,NA,NA,NA,None,NA
1265,15,6,15,Low,NA
1266,40,NA,10,Moderate,NA
1267,10,10,30,Moderate,NA
1268,NA,NA,30,Moderate,NA
1269,NA,11,15,Low,NA
1270,NA,8.5,5,Low,NA
1271,NA,9,15,Low,NA
1272,15,6.5,7,Low,NA
1273,5,7.5,30,Low,0.9
1274,5,7,18,Low,NA
1275,NA,8.8,30,Low,NA
1276,17,10.3,8,Low,NA
1277,NA,12,3,Low,NA
1278,NA,12,8,Low,NA
1279,23,12.8,NA,Moderate,NA
1280,10,13.3,50,Low,NA
1281,13,12,50,Low,NA
1282,NA,13.9,8,Low,NA
1283,10,13.3,7,Low,NA
1284,10,12.8,130,Low,NA
1285,10,14.3,200,Low,NA
1286,10,16.7,50,Low,NA
1287,10,15.8,29,Moderate,NA
1288,20,NA,NA,None,NA
1289,NA,NA,NA,None,NA
1290,10,17.5,100,Low,NA
1291,20,NA,72,High,NA
1292,NA,16,30,Low,NA
1293,NA,NA,NA,None,NA
1294,NA,NA,NA,None,NA
1295,NA,NA,NA,None,NA
1296,NA,NA,NA,None,NA
1297,NA,NA,NA,None,NA
1298,NA,NA,NA,None,NA
1299,NA,NA,NA,None,NA
1300,NA,NA,NA,None,NA
1301,NA,NA,NA,None,NA
1302,NA,NA,NA,None,NA
1303,NA,NA,NA,None,NA
1304,NA,NA,NA,None,NA
1305,NA,NA,NA,None,NA
1306,NA,NA,NA,None,NA
1307,NA,NA,NA,None,NA
1308,NA,NA,NA,None,NA
1309,NA,NA,NA,None,NA
1310,NA,NA,NA,None,NA
1311,NA,NA,NA,None,NA
1312,NA,NA,NA,None,NA
1313,NA,NA,NA,None,NA
1314,NA,NA,NA,None,NA
1315,NA,NA,NA,None,NA
1316,NA,NA,NA,None,NA
1317,NA,NA,NA,None,NA
1318,NA,NA,NA,None,NA
1319,NA,NA,NA,None,NA
1320,NA,NA,NA,None,NA
1321,NA,NA,NA,None,NA
1322,NA,NA,NA,None,NA
1323,NA,NA,NA,None,NA
1324,NA,NA,NA,None,NA
1325,NA,NA,NA,None,NA
1326,NA,NA,NA,None,NA
1327,NA,NA,NA,None,NA
1328,NA,NA,NA,None,NA
1329,NA,NA,NA,None,NA
1330,NA,20,100,NA,NA
1331,NA,18,60,Low,NA
1332,NA,17.8,30,Low,NA
1333,NA,20.7,25,Low,NA
1334,NA,19.4,70,Low,NA
1335,NA,18.4,48,Low,NA
1336,NA,17.2,100,Moderate,NA
1337,NA,15.6,17,Low,NA
1338,NA,17.3,19,Low,NA
1339,NA,15.4,7,Low,NA
1340,NA,NA,NA,None,NA
1341,9,18.7,80,Low,NA
1342,NA,18.5,15,Low,NA
1343,NA,19.2,NA,Low,NA
1344,10,18,80,Low,NA
1345,10,21,30,Low,NA
1346,9,20.2,70,Low,NA
1347,NA,22.3,40,Low,NA
1348,NA,23.2,62,Low,NA
1349,20,24.3,40,Low,NA
1350,25,21,60,Moderate,NA
1351,NA,19.1,130,Low,NA
1352,15,20,33,Moderate,NA
1353,NA,18.5,120,Moderate,NA
1354,5,20,32,Low,NA
1355,NA,18.8,30,Low,NA
1356,NA,20.1,75,Low,NA
1357,10,20.4,25,Low,NA
1358,NA,17.9,90,Low,NA
1359,9,19.2,20,High,NA
1360,25,NA,55,High,NA
1361,NA,17,50,Moderate,NA
1362,NA,18,30,Low,NA
1363,NA,18.6,20,Low,NA
1364,NA,18.8,100,Low,NA
1365,NA,19.3,90,Low,NA
1366,10,19.7,110,Low,NA
1367,10,20,100,Low,NA
1368,NA,19.5,20,Low,NA
1369,NA,20,40,Moderate,NA
1370,NA,20.4,20,Moderate,NA
1371,NA,NA,NA,None,NA
1372,15,7,40,Low,NA
1373,40,9.5,5,High,30.1
1374,10,10,20,Moderate,NA
1375,NA,NA,30,Moderate,NA
1376,NA,10,15,Low,2.4
1377,NA,8.5,2,Low,NA
1378,NA,9,25,Low,1.2
1379,15,8,15,Low,NA
1380,5,7.5,30,Low,1
1381,5,7.9,1,Low,0.9
1382,NA,11.5,5,Low,0.7
1383,17,10.7,5,Low,0.1
1384,NA,11.9,8,Low,0.4
1385,NA,12.1,3,Low,1
1386,23,12.6,NA,Moderate,1.4
1387,10,13.4,30,Moderate,8.2
1388,13,12.4,13,Low,1
1389,NA,14.3,2,Low,1.5
1390,10,14.6,20,Low,1.2
1391,10,13.4,90,Low,NA
1392,10,13.7,20,Low,NA
1393,10,16.1,15,Low,0.6
1394,10,16,17,Moderate,0.9
1395,20,NA,NA,None,180
1396,NA,NA,NA,None,NA
1397,10,17.8,30,Low,19.8
1398,20,NA,15,High,5.4
1399,NA,16.2,4,Low,4
1400,NA,NA,NA,None,NA
1401,NA,NA,NA,None,NA
1402,NA,NA,NA,None,NA
1403,NA,NA,NA,None,NA
1404,NA,NA,NA,None,NA
1405,NA,NA,NA,None,NA
1406,NA,NA,NA,None,NA
1407,NA,NA,NA,None,NA
1408,NA,NA,NA,None,NA
1409,NA,NA,NA,None,NA
1410,NA,NA,NA,None,NA
1411,NA,NA,NA,None,NA
1412,NA,NA,NA,None,NA
1413,NA,NA,NA,None,NA
1414,NA,NA,NA,None,NA
1415,NA,NA,NA,None,NA
1416,NA,NA,NA,None,NA
1417,NA,NA,NA,None,NA
1418,NA,NA,NA,None,NA
1419,NA,NA,NA,None,NA
1420,NA,NA,NA,None,NA
1421,NA,NA,NA,None,NA
1422,NA,NA,NA,None,NA
1423,NA,NA,NA,None,NA
1424,NA,NA,NA,None,NA
1425,NA,NA,NA,None,NA
1426,NA,NA,NA,None,NA
1427,NA,NA,NA,None,NA
1428,NA,NA,NA,None,NA
1429,NA,NA,NA,None,NA
1430,NA,NA,NA,None,NA
1431,NA,NA,NA,None,NA
1432,NA,NA,NA,None,NA
1433,NA,NA,NA,None,NA
1434,NA,NA,NA,None,NA
1435,NA,NA,NA,None,NA
1436,NA,NA,NA,None,NA
1437,NA,17,105,NA,NA
1438,NA,18,55,Low,NA
1439,NA,17,20,Low,NA
1440,NA,20.7,25,Low,0.5
1441,NA,19,50,Low,1.6
1442,NA,17.8,20,Low,0.2
1443,NA,17,200,Moderate,0.6
1444,NA,15.7,20,Low,1.4
1445,NA,16.8,47,Low,NA
1446,NA,15,15,Low,0.2
1447,NA,NA,NA,None,NA
1448,9,18.3,110,Low,0.2
1449,NA,18.1,200,Low,0.2
1450,NA,19,150,Low,0.66
1451,10,17.6,10,Low,NA
1452,10,20,NA,Low,0.3
1453,9,20.4,70,Low,NA
1454,NA,21.6,25,Low,0.2
1455,NA,22.9,30,Low,0.1
1456,20,22.2,15,Low,1
1457,25,25,100,Moderate,4.8
1458,NA,19.3,200,Low,0.1
1459,15,21,67,High,1.7
1460,NA,18.7,160,Low,0.4
1461,5,18.1,20,Low,0.6
1462,NA,18.8,50,Low,1
1463,NA,20.4,65,Low,0.4
1464,10,20.7,65,Low,0.6
1465,NA,17.7,40,Low,0.2
1466,9,17,20,High,5.1
1467,25,20.2,20,High,21.3
1468,NA,17.5,50,Moderate,NA
1469,NA,18,40,Low,1.5
1470,NA,19.1,80,Low,4.5
1471,NA,19,30,Low,1.3
1472,NA,20,50,Low,0.3
1473,10,19.5,100,Low,NA
1474,10,19,250,Low,NA
1475,NA,19.9,55,Low,0.6
1476,NA,20.4,25,Moderate,1.6
1477,NA,20.2,40,Moderate,1.9
1478,NA,NA,NA,None,NA
1479,15,7,20,Low,NA
1480,40,NA,35,Moderate,NA
1481,10,9,10,Low,NA
1482,NA,NA,35,Low,NA
1483,NA,10,5,Low,NA
1484,NA,10,12,Low,NA
1485,NA,11,10,Low,NA
1486,15,10.5,40,Low,NA
1487,5,10,20,Low,NA
1488,5,10,30,Low,NA
1489,NA,13.1,30,Low,NA
1490,17,13.6,25,Low,NA
1491,NA,13.1,15,Low,NA
1492,NA,13,17,Low,NA
1493,23,12.7,NA,Low,NA
1494,10,12.4,98,Low,NA
1495,13,13,30,Low,NA
1496,NA,14.5,50,Low,NA
1497,10,14.2,5,Low,NA
1498,10,15,5,Low,NA
1499,10,15.4,30,Low,NA
1500,10,17.3,43,NA,NA
1501,10,18.5,15,Low,NA
1502,20,NA,NA,None,NA
1503,NA,NA,NA,None,NA
1504,10,15.4,15,Low,NA
1505,20,NA,67,Moderate,NA
1506,NA,15.5,22,Low,NA
1507,NA,NA,NA,None,NA
1508,NA,NA,NA,None,NA
1509,NA,NA,NA,None,NA
1510,NA,NA,NA,None,NA
1511,NA,NA,NA,None,NA
1512,NA,NA,NA,None,NA
1513,NA,NA,NA,None,NA
1514,NA,NA,NA,None,NA
1515,NA,NA,NA,None,NA
1516,NA,NA,NA,None,NA
1517,NA,NA,NA,None,NA
1518,NA,NA,NA,None,NA
1519,NA,NA,NA,None,NA
1520,NA,NA,NA,None,NA
1521,NA,NA,NA,None,NA
1522,NA,NA,NA,None,NA
1523,NA,NA,NA,None,NA
1524,NA,NA,NA,None,NA
1525,NA,NA,NA,None,NA
1526,NA,NA,NA,None,NA
1527,NA,NA,NA,None,NA
1528,NA,NA,NA,None,NA
1529,NA,NA,NA,None,NA
1530,NA,NA,NA,None,NA
1531,NA,NA,NA,None,NA
1532,15,6,100,Moderate,NA
1533,40,5,30,High,NA
1534,10,8,17,Low,NA
1535,NA,9,50,High,175
1536,NA,9,14,Low,NA
1537,NA,9,150,Low,NA
1538,NA,9.5,116,Low,1.4
1539,15,13,50,Low,3
1540,5,NA,30,Low,NA
1541,5,8.2,10,Low,1.6
1542,NA,8.5,12,Low,2
1543,17,11.3,30,Low,0.4
1544,NA,11.9,30,Low,3.2
1545,NA,12,10,Low,1.5
1546,23,12.9,NA,Moderate,49.5
1547,10,13,10,Moderate,NA
1548,13,12.9,40,Low,3.8
1549,NA,14.3,35,Low,1.3
1550,10,15.3,17,Low,5.6
1551,10,13.5,150,Low,NA
1552,10,13,70,Low,NA
1553,10,15.1,110,Low,0.7
1554,10,16,24,Moderate,NA
1555,20,16,50,High,154
1556,NA,NA,NA,None,NA
1557,10,16.4,25,Low,12.2
1558,20,NA,NA,None,NA
1559,NA,16.3,12,Low,25.8
1560,NA,NA,NA,None,NA
1561,NA,NA,NA,None,NA
1562,NA,NA,NA,None,NA
1563,NA,NA,NA,None,NA
1564,NA,NA,NA,None,NA
1565,NA,NA,NA,None,NA
1566,NA,NA,NA,None,NA
1567,NA,NA,NA,None,NA
1568,NA,NA,NA,None,NA
1569,NA,NA,NA,None,NA
1570,NA,12.3,NA,High,NA
1571,NA,12.8,NA,Moderate,NA
1572,NA,12,NA,Low,NA
1573,NA,13.2,NA,Low,NA
1574,NA,14.6,NA,Low,NA
1575,NA,13.1,6,Low,NA
1576,NA,14,24,Low,NA
1577,5,16.8,NA,Low,NA
1578,NA,17,NA,Moderate,NA
1579,NA,15.8,5,High,NA
1580,NA,NA,NA,None,NA
1581,NA,NA,NA,None,NA
1582,NA,NA,NA,None,NA
1583,NA,14.6,15,Low,NA
1584,NA,NA,NA,None,NA
1585,NA,NA,NA,None,NA
1586,NA,NA,NA,None,NA
1587,NA,NA,NA,None,NA
1588,NA,NA,NA,None,NA
1589,NA,NA,NA,None,NA
1590,NA,NA,NA,None,NA
1591,NA,NA,NA,None,NA
1592,NA,NA,NA,None,NA
1593,NA,NA,NA,None,NA
1594,NA,NA,NA,None,NA
1595,NA,NA,NA,None,NA
1596,NA,NA,NA,None,NA
1597,NA,NA,NA,None,NA
1598,NA,NA,NA,None,NA
1599,NA,NA,NA,None,NA
1600,NA,NA,NA,None,NA
1601,NA,NA,NA,None,NA
1602,NA,NA,NA,None,NA
1603,NA,NA,NA,None,NA
1604,NA,NA,NA,None,NA
1605,NA,NA,NA,None,NA
1606,NA,NA,NA,None,NA
1607,NA,NA,NA,None,NA
1608,NA,NA,NA,None,NA
1609,NA,NA,NA,None,NA
1610,NA,NA,NA,None,NA
1611,NA,NA,NA,None,NA
1612,NA,NA,NA,None,NA
1613,NA,NA,NA,None,NA
1614,NA,NA,NA,None,NA
1615,NA,NA,NA,None,NA
1616,NA,NA,NA,None,NA
1617,NA,NA,NA,None,NA
1618,NA,NA,NA,None,NA
1619,NA,NA,NA,None,NA
1620,NA,NA,NA,None,NA
1621,NA,NA,NA,None,NA
1622,NA,NA,NA,None,NA
1623,NA,NA,8,Low,NA
1624,NA,NA,NA,None,NA
1625,NA,NA,NA,None,NA
1626,NA,NA,NA,None,NA
1627,NA,19,16,Moderate,NA
1628,NA,17,20,Moderate,NA
1629,NA,18,10,Low,NA
1630,NA,NA,NA,None,NA
1631,NA,61.7,10,NA,NA
1632,NA,17.5,1,Low,NA
1633,NA,17,10,Moderate,NA
1634,NA,18.3,2,Low,NA
1635,NA,NA,NA,None,NA
1636,NA,19.8,1,Low,NA
1637,NA,21,NA,Low,NA
1638,NA,NA,NA,None,NA
1639,NA,NA,NA,None,NA
1640,NA,22.8,20,Low,NA
1641,NA,25,NA,Moderate,NA
1642,NA,22.5,NA,Moderate,NA
1643,NA,21.6,NA,Moderate,NA
1644,NA,NA,NA,None,NA
1645,NA,19.4,12,Low,NA
1646,NA,19.9,25,Moderate,NA
1647,NA,20.4,NA,Low,NA
